येस	य े स |
जीवाणुरोधी	ज ी व ा ण ु र ो ध ी |
बइढ़	ब इ ढ़ |
घुरबइ	घ ु र ब इ |
पड़इ	प ड़ इ |
कालोनीक	क ा ल ो न ी क |
सूचीक	स ू च ी क |
फरइ	फ र इ |
मंगरुआक	म ं ग र ु आ क |
किनलकै	क ि न ल क ै |
शेयरहोल्डर्स	श े य र ह ो ल ् ड र ् स |
उठाबैत	उ ठ ा ब ै त |
पुछलक	प ु छ ल क |
सोंइसक	स ो ं इ स क |
धोइ	ध ो इ |
उतारि	उ त ा र ि |
दुइयो	द ु इ य ो |
लेभी	ल े भ ी |
करइयै	क र इ य ै |
पड़तो	प ड़ त ो |
फफूँद	फ फ ू ँ द |
छोराबै	छ ो र ा ब ै |
तेजाब	त े ज ा ब |
स्टाँबेरी	स ् ट ा ँ ब े र ी |
जिनस	ज ि न स |
फ्रेगेरिया	फ ् र े ग े र ि य ा |
फिरेशान	फ ि र े श ा न |
पेकचा	प े क च ा |
साइलो	स ा इ ल ो |
बढ़तौ	ब ढ़ त ौ |
बिकरी	ब ि क र ी |
ऐछ	ऐ छ |
सत्तुक	स त ् त ु क |
लिट्टी	ल ि ट ् ट ी |
टाली	ट ा ल ी |
शुन्य	श ु न ् य |
अनपेक्षित	अ न प े क ् ष ि त |
प्रारूपित	प ् र ा र ू प ि त |
देखाइत	द े ख ा इ त |
जलधारा	ज ल ध ा र ा |
लगेलासँ	ल ग े ल ा स ँ |
पुरखाक	प ु र ख ा क |
रोगिहा	र ो ग ि ह ा |
काजर	क ा ज र |
बनाकए	ब न ा क ए |
माउगीक	म ा उ ग ी क |
गेबीअलीडे	ग े ब ी अ ल ी ड े |
भौरा	भ ौ र ा |
कीरासँ	क ी र ा स ँ |
लेगुम	ल े ग ु म |
माँझिल	म ा ँ झ ि ल |
जमाराशिक	ज म ा र ा श ि क |
गायके	ग ा य क े |
घुमेले	घ ु म े ल े |
पीली	प ी ल ी |
मोजेक	म ो ज े क |
करैलाक	क र ै ल ा क |
हल्ला	ह ल ् ल ा |
पैकन	प ै क न |
मैकनिकल	म ै क न ि क ल |
बहादूरी	ब ह ा द ू र ी |
पलौघ	प ल ौ घ |
बुन्न	ब ु न ् न |
भयंकर	भ य ं क र |
सीशो	स ी श ो |
जिलेबियाक	ज ि ल े ब ि य ा क |
सोडियम	स ो ड ि य म |
बिबिधीकरण	ब ि ब ि ध ी क र ण |
एम्पलाइज	ए म ् प ल ा इ ज |
घाटाक	घ ा ट ा क |
जिम्माँ	ज ि म ् म ा ँ |
मैटीरियल	म ै ट ी र ि य ल |
खुआ	ख ु आ |
कर्जदाता	क र ् ज द ा त ा |
पूंजीपति	प ू ं ज ी प त ि |
कसेली	क स े ल ी |
किशोर	क ि श ो र |
फेबेसिया	फ े ब े स ि य ा |
पीज	प ी ज |
लेगहोर्न	ल े ग ह ो र ् न |
मुरगी	म ु र ग ी |
आँटा	आ ँ ट ा |
पाठा	प ा ठ ा |
पांठी	प ा ं ठ ी |
प्रमाणो	प ् र म ा ण ो |
रौदक	र ौ द क |
सोसायटी	स ो स ा य ट ी |
प्रोफिट	प ् र ो फ ि ट |
ड्राफट	ड ् र ा फ ट |
फाइदा	फ ा इ द ा |
अंकुरयबाक	अ ं क ु र य ब ा क |
साधारणतया	स ा ध ा र ण त य ा |
सकलौं	स क ल ौ ं |
जैतो	ज ै त ो |
एंपानि	ए ं प ा न ि |
हरदिक	ह र द ि क |
मौसरीक	म ौ स र ी क |
यूनाइटेड	य ू न ा इ ट े ड |
किंगडम	क ि ं ग ड म |
ऑस्ट्रलिया	ऑ स ् ट ् र ल ि य ा |
गियरिंग	ग ि य र ि ं ग |
हटावय	ह ट ा व य |
विद्वान	व ि द ् व ा न |
स्ट्रीम	स ् ट ् र ी म |
ऐप्प	ऐ प ् प |
बेरुक	ब े र ु क |
वर्षमे	व र ् ष म े |
बेल्टसँ	ब े ल ् ट स ँ |
समानकेँ	स म ा न क े ँ |
घून	घ ू न |
जलसंधारण	ज ल स ं ध ा र ण |
पी.एस	प ी . ए स |
चाहते	च ा ह त े |
एपियोलाँजी	ए प ि य ो ल ा ँ ज ी |
फटकिकए	फ ट क ि क ए |
गरदा	ग र द ा |
इच्छित	इ च ् छ ि त |
सरहाक	स र ह ा क |
बीर्य	ब ी र ् य |
चोरका	च ो र क ा |
कियेकी	क ि य े क ी |
बढ़बे	ब ढ़ ब े |
नार्वे	न ा र ् व े |
रुसक	र ु स क |
बिछाएल	ब ि छ ा ए ल |
तुरतें	त ु र त े ं |
पोसनाइ	प ो स न ा इ |
डिटोल	ड ि ट ो ल |
नहाए	न ह ा ए |
कर्जाकेँ	क र ् ज ा क े ँ |
किनबा	क ि न ब ा |
भिजवावे	भ ि ज व ा व े |
एम.पी	ए म . प ी |
लेड	ल े ड |
करेने	क र े न े |
लेताह	ल े त ा ह |
अम्लीकरणक	अ म ् ल ी क र ण क |
अकुशल	अ क ु श ल |
सशक्त	स श क ् त |
नरेंद्र	न र े ं द ् र |
उपजेल	उ प ज े ल |
बिकतै	ब ि क त ै |
मोदीक	म ो द ी क |
डिजिटले	ड ि ज ि ट ल े |
इंडियाक	इ ं ड ि य ा क |
पूछलनि	प ू छ ल न ि |
पठेबामे	प ठ े ब ा म े |
पसीन	प स ी न |
उड़ा	उ ड़ ा |
बईढ़	ब ई ढ़ |
गेलईय	ग े ल ई य |
सजमैन	स ज म ै न |
बाती	ब ा त ी |
सईर	स ई र |
झरि	झ र ि |
जुर	ज ु र |
वक्त	व क ् त |
बाजारू	ब ा ज ा र ू |
जीबक	ज ी ब क |
लुक	ल ु क |
राईख	र ा ई ख |
लधु	ल ध ु |
सकें	स क े ं |
निर्धारणो	न ि र ् ध ा र ण ो |
जानकार	ज ा न क ा र |
पुनर्स्थापन	प ु न र ् स ् थ ा प न |
मित्र	म ि त ् र |
रिश्तेदार	र ि श ् त े द ा र |
फेंक	फ े ं क |
आयुर्वेदक	आ य ु र ् व े द क |
ग्लाइसेमिक	ग ् ल ा इ स े म ि क |
इन्डेक्स	इ न ् ड े क ् स |
डायबिटीज	ड ा य ब ि ट ी ज |
करबही	क र ब ह ी |
बबासँ	ब ब ा स ँ |
धुरफंदीमे	ध ु र फ ं द ी म े |
सँस्था	स ँ स ् थ ा |
बढ़ेबामे	ब ढ़ े ब ा म े |
एरियाक	ए र ि य ा क |
बाय	ब ा य |
फेड	फ े ड |
रेटस	र े ट स |
लिबोर	ल ि ब ो र |
प्राइम	प ् र ा इ म |
रेटकेँ	र े ट क े ँ |
मेनेजर	म े न े ज र |
निरीक्षण	न ि र ी क ् ष ण |
जन्मतिथि	ज न ् म त ि थ ि |
भा	भ ा |
दोषी	द ो ष ी |
अश	अ श |
बाटरकेँ	ब ा ट र क े ँ |
बल्कि	ब ल ् क ि |
उएह	उ ए ह |
जाव	ज ा व |
मोनमोताबिक	म ो न म ो त ा ब ि क |
लैली	ल ै ल ी |
सिट्ठीयो	स ि ट ् ठ ी य ो |
कैहन	क ै ह न |
ओला	ओ ल ा |
वृष्टी	व ृ ष ् ट ी |
पोस्टमास्टर	प ो स ् ट म ा स ् ट र |
सम्बोधित	स म ् ब ो ध ि त |
जन्में	ज न ् म े ं |
मनीआर्डर	म न ी आ र ् ड र |
दीदी	द ी द ी |
परचेज	प र च े ज |
कीनलाक	क ी न ल ा क |
रेंट	र े ं ट |
भाइरस	भ ा इ र स |
बेमारीक	ब े म ा र ी क |
केयरकेँ	क े य र क े ँ |
एक्कीस	ए क ् क ी स |
जेथौन	ज े थ ौ न |
चुनमुनी	च ु न म ु न ी |
बसेरा	ब स े र ा |
नाक	न ा क |
ढंकी	ढ ं क ी |
एकाउंट्स	ए क ा उ ं ट ् स |
केचुआ	क े च ु आ |
हिन्ने	ह ि न ् न े |
परम्परा	प र म ् प र ा |
चव्वालीस	च व ् व ा ल ी स |
हायत	ह ा य त |
पौना	प ौ न ा |
बिसैला	ब ि स ै ल ा |
तोरै	त ो र ै |
बगबानी	ब ग ब ा न ी |
रुपाक	र ु प ा क |
ठोसगर	ठ ो स ग र |
दरबज्जाक	द र ब ज ् ज ा क |
केबार	क े ब ा र |
कुरा	क ु र ा |
करकट	क र क ट |
दूत	द ू त |
सितुआक	स ि त ु आ क |
बिपक्ष	ब ि प क ् ष |
सहजोग	स ह ज ो ग |
बिघ्न	ब ि घ ् न |
डेफोडिलकेँ	ड े फ ो ड ि ल क े ँ |
बसंतक	ब स ं त क |
लगाइल	ल ग ा इ ल |
होयछै	ह ो य छ ै |
महगीकेँ	म ह ग ी क े ँ |
एंट्राकनोज	ए ं ट ् र ा क न ो ज |
रस्ट	र स ् ट |
सीगाटोका	स ी ग ा ट ो क ा |
मुँहक	म ु ँ ह क |
देलाक	द े ल ा क |
गेनाइ	ग े न ा इ |
उघारब	उ घ ा र ब |
मोनो	म ो न ो |
क्राँपिंग	क ् र ा ँ प ि ं ग |
प्राचीने	प ् र ा च ी न े |
प्रगति	प ् र ग त ि |
काफीक	क ा फ ी क |
रेस्टोरेंट	र े स ् ट ो र े ं ट |
हबाइ	ह ब ा इ |
अखुनका	अ ख ु न क ा |
जमानामे	ज म ा न ा म े |
टिंबर	ट ि ं ब र |
खाधिक	ख ा ध ि क |
तीनों	त ी न ो ं |
थल	थ ल |
काल्हिक	क ा ल ् ह ि क |
युनिट	य ु न ि ट |
चारो	च ा र ो |
ओरी	ओ र ी |
कक्षामे	क क ् ष ा म े |
पढ़ाओल	प ढ़ ा ओ ल |
खराबीयो	ख र ा ब ी य ो |
उत्पादको	उ त ् प ा द क ो |
कत्थी	क त ् थ ी |
कार्डकेँ	क ा र ् ड क े ँ |
पीयरका	प ी य र क ा |
कंपनीमे	क ं प न ी म े |
छनि	छ न ि |
सफाइपर	स फ ा इ प र |
गौशाला	ग ौ श ा ल ा |
घुरेबाक	घ ु र े ब ा क |
छिएय	छ ि ए य |
दुधकेँ	द ु ध क े ँ |
रसुनक	र स ु न क |
बनिए	ब न ि ए |
नेटबैंकिंगक	न े ट ब ै ं क ि ं ग क |
जोलहा	ज ो ल ह ा |
चतुदर्शीक	च त ु द र ् श ी क |
पारण	प ा र ण |
तोह	त ो ह |
रखरखावक	र ख र ख ा व क |
स्पियर	स ् प ि य र |
फिशिंगमे	फ ि श ि ं ग म े |
नोक	न ो क |
अलानक	अ ल ा न क |
लेटैराइट	ल े ट ै र ा इ ट |
क़ेँ	क़ े ँ |
बुलिश	ब ु ल ि श |
जायछे	ज ा य छ े |
जोगार	ज ो ग ा र |
तोड़	त ो ड़ |
जायके	ज ा य क े |
छप्पर	छ प ् प र |
फड़ल	फ ड़ ल |
फ्रेसवाटर	फ ् र े स व ा ट र |
जुट	ज ु ट |
हेम्प	ह े म ् प |
फिक्सिंग	फ ि क ् स ि ं ग |
कनोजरि	क न ो ज र ि |
छोरय	छ ो र य |
पातमे	प ा त म े |
समतोलासँ	स म त ो ल ा स ँ |
छीट	छ ी ट |
बीड	ब ी ड |
चननचूर	च न न च ू र |
केयरसँ	क े य र स ँ |
चौतीस	च ौ त ी स |
काँल	क ा ँ ल |
उपासक	उ प ा स क |
पंथक	प ं थ क |
मोथा	म ो थ ा |
दनुफ	द न ु फ |
हाथीसुढ़ा	ह ा थ ी स ु ढ़ ा |
एकइस	ए क इ स |
सप्ताहक	स प ् त ा ह क |
विश्वासनीय	व ि श ् व ा स न ी य |
सैम्युअल	स ै म ् य ु अ ल |
क्रॉम्पटन	क ् र ॉ म ् प ट न |
उन्नासी	उ न ् न ा स ी |
हिलाबै	ह ि ल ा ब ै |
चुनलो	च ु न ल ो |
एल्ड्रिन	ए ल ् ड ् र ि न |
टाइम	ट ा इ म |
ग्रॉस	ग ् र ॉ स |
सेटलमेंटक	स े ट ल म े ं ट क |
उनटा	उ न ट ा |
एन.एफ.टी	ए न . ए फ . ट ी |
एरागोनाइट	ए र ा ग ो न ा इ ट |
कैलसाइट	क ै ल स ा इ ट |
बरहर	ब र ह र |
बिगना	ब ि ग न ा |
मुँगो	म ु ँ ग ो |
मीटरो	म ी ट र ो |
परीक्षणसभ	प र ी क ् ष ण स भ |
आटोमोबाइल	आ ट ो म ो ब ा इ ल |
ज्वैलरी	ज ् व ै ल र ी |
आफिसमे	आ फ ि स म े |
ततबे	त त ब े |
शीटकेँ	श ी ट क े ँ |
अद्यतन	अ द ् य त न |
गलुआ	ग ल ु आ |
दुःखी	द ु ः ख ी |
पकड़बा	प क ड़ ब ा |
कष्टदायी	क ष ् ट द ा य ी |
मिथिलामे	म ि थ ि ल ा म े |
बृहद	ब ृ ह द |
कदिम्मा	क द ि म ् म ा |
बीसक	ब ी स क |
मोतीयोक	म ो त ी य ो क |
विवेकपूर्ण	व ि व े क प ू र ् ण |
गाछकअत्यधिक	ग ा छ क अ त ् य ध ि क |
बेचतै	ब े च त ै |
मिलैल	म ि ल ै ल |
खोलबावे	ख ो ल ब ा व े |
हारवेस्टर	ह ा र व े स ् ट र |
लेमेलिडन्स	ल े म े ल ि ड न ् स |
मार्जिनलीस	म ा र ् ज ि न ल ी स |
कोराइएनस	क ो र ा इ ए न स |
मसल	म स ल |
हकार	ह क ा र |
दूइये	द ू इ य े |
एलय	ए ल य |
कोकोक	क ो क ो क |
अप्लीकेशन	अ प ् ल ी क े श न |
चेकबुकक	च े क ब ु क क |
मालिक्युल	म ा ल ि क ् य ु ल |
एगफ्रुट	ए ग फ ् र ु ट |
मलेशियाक	म ल े श ि य ा क |
बुनबिही	ब ु न ब ि ह ी |
नीलका	न ी ल क ा |
हितक	ह ि त क |
मोडिफाइड	म ो ड ि फ ा इ ड |
पोसलाक	प ो स ल ा क |
स्प्रेडर	स ् प ् र े ड र |
परिपक्वताक	प र ि प क ् व त ा क |
इत्र	इ त ् र |
अकेला	अ क े ल ा |
कमबे	क म ब े |
लेलिए	ल े ल ि ए |
वकरा	व क र ा |
धुआं	ध ु आ ं |
मौलिक	म ौ ल ि क |
कैटगत	क ै ट ग त |
कोर्ड	क ो र ् ड |
मधुश्रावणीमे	म ध ु श ् र ा व ण ी म े |
चढ़ैत	च ढ़ ै त |
नौकरिया	न ौ क र ि य ा |
पोसनिहार	प ो स न ि ह ा र |
सातु	स ा त ु |
रिफंड	र ि फ ं ड |
मोचन	म ो च न |
सरय	स र य |
धोधर	ध ो ध र |
नेशंस	न े श ं स |
धोएब	ध ो ए ब |
करोड़सँ	क र ो ड़ स ँ |
झूंड	झ ू ं ड |
चलाबैत	च ल ा ब ै त |
सौँसे	स ौ ँ स े |
खाम्ह	ख ा म ् ह |
डेली	ड े ल ी |
माइक्रोफाइनान्स	म ा इ क ् र ो फ ा इ न ा न ् स |
अक्षम	अ क ् ष म |
आदिम	आ द ि म |
मगरमच्छक	म ग र म च ् छ क |
सम्हारनाय	स म ् ह ा र न ा य |
बारकोड	ब ा र क ो ड |
स्टिकर	स ् ट ि क र |
मंडीक	म ं ड ी क |
पहिनहि	प ह ि न ह ि |
ब्रांडक	ब ् र ा ं ड क |
पुरैणक	प ु र ै ण क |
लगेलाक	ल ग े ल ा क |
उपजाए	उ प ज ा ए |
खेतके	ख े त क े |
पटेने	प ट े न े |
गांवमे	ग ा ं व म े |
पेपरबोर्ड	प े प र ब ो र ् ड |
स्मार्टफोनक	स ् म ा र ् ट फ ो न क |
मुस्लिम	म ु स ् ल ि म |
संत	स ं त |
बूदन	ब ू द न |
घुरैत	घ ु र ै त |
मुरझाइत	म ु र झ ा इ त |
पौधाकें	प ौ ध ा क े ं |
इंफ्रास्ट्रक्चर	इ ं फ ् र ा स ् ट ् र क ् च र |
अबैध	अ ब ै ध |
नोटकेँ	न ो ट क े ँ |
छपेबा	छ प े ब ा |
विमुद्रीकरणक	व ि म ु द ् र ी क र ण क |
लैग्यूम	ल ै ग ् य ू म |
खंती	ख ं त ी |
खोधै	ख ो ध ै |
बूझय	ब ू झ य |
वोदका	व ो द क ा |
बीयर	ब ी य र |
ईन	ई न |
नियोजित	न ि य ो ज ि त |
गोटी	ग ो ट ी |
चमकाबै	च म क ा ब ै |
मेहनतक	म े ह न त क |
पुदीना	प ु द ी न ा |
सार	स ा र |
पुष्पकोष	प ु ष ् प क ो ष |
कोरोला	क ो र ो ल ा |
वाहक	व ा ह क |
प्रदाताक	प ् र द ा त ा क |
खूखल	ख ू ख ल |
बेशकीमती	ब े श क ी म त ी |
प्रवृष्टि	प ् र व ृ ष ् ट ि |
बिलाय	ब ि ल ा य |
उपायक	उ प ा य क |
किसमिश	क ि स म ि श |
ग्लुकोज	ग ् ल ु क ो ज |
फ्रुक्टोजक	फ ् र ु क ् ट ो ज क |
सर्करा	स र ् क र ा |
बढ़नाय	ब ढ़ न ा य |
मेंटेनेंस	म े ं ट े न े ं स |
कॉलम	क ॉ ल म |
पाश्म	प ा श ् म |
पारसी	प ा र स ी |
लद्दाखीमे	ल द ् द ा ख ी म े |
अदल	अ द ल |
अफ्रीकाना	अ फ ् र ी क ा न ा |
अफ्रीकानेर	अ फ ् र ी क ा न े र |
कीनला	क ी न ल ा |
अंशदान	अ ं श द ा न |
उद्यमीक	उ द ् य म ी क |
लगैछे	ल ग ै छ े |
साइज	स ा इ ज |
बढावा	ब ढ ा व ा |
लेलखिन	ल े ल ख ि न |
अस्तित्वहीन	अ स ् त ि त ् व ह ी न |
दुधिया	द ु ध ि य ा |
कोड़ि	क ो ड़ ि |
मन्त्रालय	म न ् त ् र ा ल य |
एडोल्फ	ए ड ो ल ् फ |
गोटज	ग ो ट ज |
बेरासी	ब े र ा स ी |
बिंदूक	ब ि ं द ू क |
मफलर	म फ ल र |
समेटने	स म े ट न े |
बिकायत	ब ि क ा य त |
बारहैन	ब ा र ह ै न |
आशाजनक	आ श ा ज न क |
पैशन	प ै श न |
फ्रूट	फ ् र ू ट |
उदर	उ द र |
उद्यमशीलताक	उ द ् य म श ी ल त ा क |
मैसाचुसेट्स	म ै स ा च ु स े ट ् स |
कैन्टोन	क ै न ् ट ो न |
फड़ै	फ ड़ ै |
बौछार	ब ौ छ ा र |
कमबय	क म ब य |
खोलेलीयै	ख ो ल े ल ी य ै |
लगेलीयै	ल ग े ल ी य ै |
गुणवत्ताबला	ग ु ण व त ् त ा ब ल ा |
घुकर	घ ु क र |
लाइले	ल ा इ ल े |
भण्डारक	भ ण ् ड ा र क |
संस्करण	स ं स ् क र ण |
करले	क र ल े |
आपूर्तिकर्ता	आ प ू र ् त ि क र ् त ा |
नोनछराह	न ो न छ र ा ह |
अपर्याप्त	अ प र ् य ा प ् त |
लवणीकरणक	ल व ण ी क र ण क |
भैयाकेँ	भ ै य ा क े ँ |
नाभि	न ा भ ि |
कब्जियत	क ब ् ज ि य त |
सिडनी	स ि ड न ी |
टोक्यो	ट ो क ् य ो |
हांगकांग	ह ा ं ग क ा ं ग |
सिंगापुर	स ि ं ग ा प ु र |
मास्को	म ा स ् क ो |
ब्रान	ब ् र ा न |
मालुम	म ा ल ु म |
फाइनो	फ ा इ न ो |
लिखते	ल ि ख त े |
आइवरी	आ इ व र ी |
कोस्ट	क ो स ् ट |
घाना	घ ा न ा |
परिस्थितिक	प र ि स ् थ ि त ि क |
पढ़ाइक	प ढ़ ा इ क |
ऑरगेनिक	ऑ र ग े न ि क |
प्रतिलाभक	प ् र त ि ल ा भ क |
घूमा	घ ू म ा |
दऊनी	द ऊ न ी |
मुर	म ु र |
पर्पल	प र ् प ल |
लेभर	ल े भ र |
जोते	ज ो त े |
सीखबाक	स ी ख ब ा क |
बगीचामे	ब ग ी च ा म े |
गाहिंकी	ग ा ह ि ं क ी |
पैहिने	प ै ह ि न े |
छलिए	छ ल ि ए |
कियेक	क ि य े क |
जतै	ज त ै |
भैजब	भ ै ज ब |
फाईनांस	फ ा ई न ा ं स |
घटबय	घ ट ब य |
अनपढ़	अ न प ढ़ |
चून	च ू न |
पोतल	प ो त ल |
खिलाबे	ख ि ल ा ब े |
ट्युबरकुलोसिस	ट ् य ु ब र क ु ल ो स ि स |
काल्युमनेरिज	क ा ल ् य ु म न े र ि ज |
ड्रॉपसी	ड ् र ॉ प स ी |
ठिक	ठ ि क |
कोला	क ो ल ा |
मँझिला	म ँ झ ि ल ा |
हि	ह ि |
पहुचाबैत	प ह ु च ा ब ै त |
भगा	भ ग ा |
स्पेसली	स ् प े स ल ी |
सुझाब	स ु झ ा ब |
हरियरी	ह र ि य र ी |
गोहि	ग ो ह ि |
जहल	ज ह ल |
स्रोतक	स ् र ो त क |
रहूँ	र ह ू ँ |
विनियमक	व ि न ि य म क |
पर्चाक	प र ् च ा क |
पैच	प ै च |
अहॅँक	अ ह ॅ ँ क |
देखत	द े ख त |
जांचत	ज ा ं च त |
बार्ली	ब ा र ् ल ी |
सम्पत्तीक	स म ् प त ् त ी क |
पूंजीगते	प ू ं ज ी ग त े |
बाइन	ब ा इ न |
बिनेगर	ब ि न े ग र |
एथनिक	ए थ न ि क |
एंटरप्राइज	ए ं ट र प ् र ा इ ज |
औंठा	औ ं ठ ा |
वेन्चर	व े न ् च र |
डीजलकेँ	ड ी ज ल क े ँ |
जीएसटीसँ	ज ी ए स ट ी स ँ |
लोभाबैक	ल ो भ ा ब ै क |
अभरत	अ भ र त |
बाँटब	ब ा ँ ट ब |
नस्लकेँ	न स ् ल क े ँ |
दुधमे	द ु ध म े |
बसाक	ब स ा क |
कमेलहक	क म े ल ह क |
परतह	प र त ह |
कॉकोड़	क ॉ क ो ड़ |
जीनस	ज ी न स |
सिनामोनक	स ि न ा म ो न क |
चरनाय	च र न ा य |
खाताधारकक	ख ा त ा ध ा र क क |
डेबिटमे	ड े ब ि ट म े |
जोतबाक	ज ो त ब ा क |
गाढ़	ग ा ढ़ |
सकाब	स क ा ब |
समयावधि	स म य ा व ध ि |
मजदुरी	म ज द ु र ी |
जयबागरिहम	ज य ब ा ग र ि ह म |
इंटीग्रेटेड	इ ं ट ी ग ् र े ट े ड |
हार्मोनक	ह ा र ् म ो न क |
क्राउडसोर्सिंग	क ् र ा उ ड स ो र ् स ि ं ग |
चवुटरा	च व ु ट र ा |
सांझुक	स ा ं झ ु क |
छलय	छ ल य |
देखाबऽ	द े ख ा ब ऽ |
पड़तै	प ड ़ त ै |
हाँथो	ह ा ँ थ ो |
मिठगर	म ि ठ ग र |
विकासमे	व ि क ा स म े |
अखनी	अ ख न ी |
बिबिधताक	ब ि ब ि ध त ा क |
ढाठ	ढ ा ठ |
अकाउंटमे	अ क ा उ ं ट म े |
बितरक	ब ि त र क |
बायोफुल	ब ा य ो फ ु ल |
उबरय	उ ब र य |
पैंकिग	प ै ं क ि ग |
परबाह	प र ब ा ह |
धनि	ध न ि |
उबजाबल	उ ब ज ा ब ल |
लोभमे	ल ो भ म े |
देखले	द े ख ल े |
नालिश	न ा ल ि श |
एवज	ए व ज |
बंटबांरा	ब ं ट ब ा ं र ा |
ओक्कर	ओ क ् क र |
पुष्टिवर्धक	प ु ष ् ट ि व र ् ध क |
वातकफ	व ा त क फ |
नुन	न ु न |
गाँधीजी	ग ा ँ ध ी ज ी |
सत्याग्रह	स त ् य ा ग ् र ह |
पकड़ि	प क ड ़ ि |
फुलाइते	फ ु ल ा इ त े |
लड़य	ल ड़ य |
होमअ	ह ो म अ |
ब्यापारक	ब ् य ा प ा र क |
सॉफ्टवुड	स ॉ फ ् ट व ु ड |
ढकि	ढ क ि |
योजनाकेँ	य ो ज न ा क े ँ |
अट्ठाईस	अ ट ् ठ ा ई स |
चौदहकेँ	च ौ द ह क े ँ |
फसैल	फ स ै ल |
तौरे	त ौ र े |
हाइपरटेंशन	ह ा इ प र ट े ं श न |
बैकहो	ब ै क ह ो |
उत्खनन	उ त ् ख न न |
वाल्ट	व ा ल ् ट |
डिजनी	ड ि ज न ी |
पुरन	प ु र न |
पोली	प ो ल ी |
गोलू	ग ो ल ू |
बकरीकेँ	ब क र ी क े ँ |
चराबैत	च र ा ब ै त |
आफिसियल	आ फ ि स ि य ल |
लबरेज्ड	ल ब र े ज ् ड |
ड्रीप	ड ् र ी प |
पटेला	प ट े ल ा |
वृद्धिकेँ	व ृ द ् ध ि क े ँ |
सब्सिजाइज्ड	स ब ् स ि ज ा इ ज ् ड |
अमेजोनियन	अ म े ज ो न ि य न |
भेराइटीक	भ े र ा इ ट ी क |
करकेँ	क र क े ँ |
दोकनदार	द ो क न द ा र |
मांगने	म ा ं ग न े |
मास्टरकेर	म ा स ् ट र क े र |
हांजक	ह ा ं ज क |
हांज	ह ा ं ज |
चमड़ीक	च म ड़ ी क |
एलोबेरा	ए ल ो ब े र ा |
पढ़ेबाक	प ढ़ े ब ा क |
खुलैबै	ख ु ल ै ब ै |
मोतीकए	म ो त ी क ए |
संवर्धित	स ं व र ् ध ि त |
हाउसक	ह ा उ स क |
भूकंपमे	भ ू क ं प म े |
पानिवायु	प ा न ि व ा य ु |
मौसममे	म ौ स म म े |
दलिसग्गा	द ल ि स ग ् ग ा |
पचैबला	प च ै ब ल ा |
बरसाते	ब र स ा त े |
राजमाक	र ा ज म ा क |
दानाकेँ	द ा न ा क े ँ |
भिजाकए	भ ि ज ा क ए |
मजुरक	म ज ु र क |
मजुरीक	म ज ु र ी क |
राष्ट्रीयकरण	र ा ष ् ट ् र ी य क र ण |
गव्यविकास	ग व ् य व ि क ा स |
बाल्टी	ब ा ल ् ट ी |
सराबैक	स र ा ब ै क |
रुइ	र ु इ |
हौर्नेट्स	ह ौ र ् न े ट ् स |
मेफ्लाइज	म े फ ् ल ा इ ज |
लीफहॉपर	ल ी फ ह ॉ प र |
लेसविंग्स	ल े स व ि ं ग ् स |
पिस्सू	प ि स ् स ू |
महिनावारी	म ह ि न ा व ा र ी |
घुघरीया	घ ु घ र ी य ा |
बदामक	ब द ा म क |
हरदी	ह र द ी |
स्क्रेपी	स ् क ् र े प ी |
सदति	स द त ि |
तंत्रिका	त ं त ् र ि क ा |
तंत्रकेँ	त ं त ् र क े ँ |
मकोरा	म क ो र ा |
कैमिकल	क ै म ि क ल |
भेटितो	भ े ट ि त ो |
बनिकए	ब न ि क ए |
कमाओल	क म ा ओ ल |
राशनक	र ा श न क |
बेकरी	ब े क र ी |
वेबस्पिनरक	व े ब स ् प ि न र क |
ग्रंथि	ग ् र ं थ ि |
तहू	त ह ू |
निश्चिंत	न ि श ् च ि ं त |
करेनाइ	क र े न ा इ |
मालिकक	म ा ल ि क क |
रजिस्टर्ड	र ज ि स ् ट र ् ड |
झुण्डकेँ	झ ु ण ् ड क े ँ |
भेड़शाला	भ े ड़ श ा ल ा |
बाँटय	ब ा ँ ट य |
टैंकर	ट ै ं क र |
ऐसन	ऐ स न |
पहुँचाबय	प ह ु ँ च ा ब य |
भेजलका	भ े ज ल क ा |
गेलय	ग े ल य |
गवर्नमेंट	ग व र ् न म े ं ट |
थोड़बै	थ ो ड़ ब ै |
देतोउ	द े त ो उ |
माउस	म ा उ स |
तोरीक	त ो र ी क |
पासबूक	प ा स ब ू क |
छपेलनि	छ प े ल न ि |
माछमे	म ा छ म े |
गारिकए	ग ा र ि क ए |
बेजोड़	ब े ज ो ड़ |
पल्प	प ल ् प |
राँ	र ा ँ |
मेटेरियल	म े ट े र ि य ल |
तुलनात्मक	त ु ल न ा त ् म क |
प्रेषक	प ् र े ष क |
आई.एफ.एस	आ ई . ए फ . ए स |
गृहस्वामी	ग ृ ह स ् व ा म ी |
किराएदार	क ि र ा ए द ा र |
रीतु	र ी त ु |
बड़के	ब ड़ क े |
पकाना	प क ा न ा |
पूजाकेँ	प ू ज ा क े ँ |
बुझा	ब ु झ ा |
नेसकेफी	न े स क े फ ी |
ब्रु	ब ् र ु |
बर्मीकंपोस्ट	ब र ् म ी क ं प ो स ् ट |
भनसा	भ न स ा |
घरसँ	घ र स ँ |
